,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_INCOME_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,HOUSETYPE_MODE,TOTALAREA_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_3,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
0,1,1,1,2,1,1,2,2,2,1,1,1,3,3,1,3,2,1,2,1,1,1,2,2,3,1,1,1,1,1,1,1,3,2,3,3,2,2,3,2,1,2,3,1,3,2,1,1,3,3,2,2,3,2,1,2,3,1,3,2,1,1,3,3,2,2,3,2,1,2,3,1,3,2,1,1,3,3,2,3,3,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
1,1,1,2,2,2,2,1,1,1,1,2,1,1,3,3,2,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,3,3,3,2,2,2,2,3,1,3,1,1,2,2,2,1,1,2,3,2,2,3,1,3,1,1,2,2,2,1,1,2,3,2,2,3,1,3,1,1,2,2,2,1,1,3,2,2,3,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
2,1,1,2,1,1,2,2,3,2,2,3,3,2,3,3,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3
3,1,1,1,1,1,2,1,2,1,2,2,2,1,3,1,1,2,1,2,2,1,1,2,2,3,1,1,1,1,1,1,2,2,3,3,3,3,3,1,3,3,3,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3,1,3,3,3,2,3,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
4,2,1,1,1,2,2,3,2,3,2,3,3,3,3,2,2,2,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,3,3,3,3,3,3,2,3,3,1,3,3,3,2,3,3,3,3,3,3,2,3,3,1,3,3,3,2,3,3,3,3,3,3,2,3,3,1,3,3,3,2,3,3,2,3,1,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1
5,1,1,1,2,1,1,2,1,2,1,3,1,1,3,2,3,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,3,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,2,1,3,1,1,1,1,2,3,3,2,2,1,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,2,3,3,3,3,2,2,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,3,3,2,3,1,3,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,2,2,2,3,2,3,2,2,1,2,3,3,1,1,2,1,2,1,2,2,2,2,1,1,1,1,1,1,1,3,1,2,2,1,3,3,2,2,1,2,1,3,2,2,3,3,2,1,3,3,2,2,1,2,1,3,2,2,3,3,2,1,3,3,2,2,1,2,1,3,2,2,3,3,3,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
8,1,1,2,2,2,3,2,2,2,2,3,2,3,2,2,1,2,1,2,2,2,2,1,1,2,2,2,1,1,1,1,3,2,2,3,3,3,3,1,3,3,3,1,1,3,3,1,3,3,1,3,3,1,3,1,3,1,1,3,3,1,2,3,3,3,3,1,3,3,3,1,1,3,3,1,3,3,3,2,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,2,1,3,1,1,1,1,2,1,2,1,3,3,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,3,1,2,3,3,2,2,3,3,3,2,3,3,3,3,1,1,3,3,2,2,3,3,3,2,3,3,3,3,1,1,3,3,2,2,3,3,3,2,3,3,3,3,1,1,3,3,2,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
